folder name,distance_markers (cm),distance_wall_measured (cm),distance_wall_computed (cm),direction,session,start frame,end frame,rotated (deg)
2023-08-07_14-48-49-b1d37a9e,100,50,52.491,right,1,79.0,182.0,61.34
2023-08-07_15-15-03-8c797c49,25,100,104.513,down,2,172.0,184.0,12.68
2023-08-07_15-16-21-80432cc9,50,100,103.562,down,1,203.0,221.0,26.42
2023-08-07_15-16-54-272d989e,50,100,103.099,down,2,169.0,188.0,26.26
2023-08-07_14-47-32-9ec2cd50,50,50,52.61,right,2,154.0,175.0,41.74
2023-08-07_15-03-03-5d0fd052,100,100,101.283,right,2,11.0,199.0,46.43
2023-08-07_15-35-46-30b1e8b1,50,150,165.418,up,1,184.0,232.0,17.14
2023-08-07_15-36-39-95b4623d,50,150,185.957,up,3,214.0,230.0,15.63
2023-08-07_15-01-10-211cc911,50,100,101.726,right,2,195.0,213.0,27.84
2023-08-07_15-22-34-d0859307,25,50,50.417,down,2,151.0,168.0,26.44
2023-08-07_14-57-08-e6226559,100,100,103.099,left,3,169.0,192.0,42.46
2023-08-07_15-17-43-1a8545fd,50,100,104.053,down,3,375.0,394.0,25.47
2023-08-07_15-37-08-dbb26a4d,25,150,161.952,down,1,162.0,171.0,7.8
2023-08-07_14-53-23-941ad71a,50,100,102.183,left,1,162.0,180.0,24.79
2023-08-07_14-45-01-868a84bc,100,50,52.732,left,1,152.0,179.0,62.71
2023-08-07_15-14-29-011811b0,25,100,101.74,down,1,158.0,170.0,12.32
2023-08-07_14-46-17-4531c034,100,50,53.715,left,3,188.0,215.0,62.47
2023-08-07_15-50-12-b48ad492,25,150,174.647,down,3,232.0,242.0,8.02
2023-08-07_15-45-40-4c5158b1,25,150,164.391,down,1,173.0,182.0,6.45
2023-08-07_15-00-40-621e5a7d,50,100,101.726,right,1,157.0,175.0,27.07
2023-08-07_14-45-32-41bc6978,100,50,52.732,left,2,163.0,190.0,63.42
2023-08-07_15-21-51-559143b7,25,50,51.318,down,1,184.0,203.0,27.78
2023-08-07_15-33-34-a4a81f4c,25,150,160.77,up,1,162.0,172.0,8.97
2023-08-07_14-56-23-1b1d1eb2,100,100,103.648,left,2,162.0,184.0,42.37
2023-08-07_14-53-53-1e5fa462,50,100,100.001,left,2,164.0,181.0,24.77
2023-08-07_15-13-15-c462170c,25,100,102.634,up,2,188.0,201.0,13.56
2023-08-07_14-43-33-bcfc6894,50,50,52.729,left,3,125.0,147.0,42.7
2023-08-07_15-15-51-3a94999f,25,100,104.031,down,3,166.0,179.0,13.19
2023-08-07_15-13-47-7e6b9df3,25,100,104.981,up,3,166.0,180.0,14.04
2023-08-07_15-35-13-579908f5,25,150,159.698,up,3,189.0,200.0,10.38
2023-08-07_14-46-52-9b5e4cf3,50,50,52.972,right,1,162.0,184.0,42.12
2023-08-07_14-48-03-a24b74d0,50,50,52.975,right,3,162.0,183.0,41.48
2023-08-07_14-49-55-ba974892,100,50,53.22,right,3,64.0,200.0,60.43
2023-08-07_14-17-41-76962d8c,50,50,52.972,left,1,172.0,195.0,45.34
2023-08-07_15-24-48-4ece0081,25,50,51.436,down,3,158.0,176.0,26.5
2023-08-07_14-55-50-7ca061c9,100,100,100.51,left,1,152.0,175.0,42.67
2023-08-07_14-49-23-b0f2afa0,100,50,54.634,right,2,24.0,193.0,60.45
2023-08-07_14-54-51-30b0ffd6,50,100,101.815,left,3,178.0,195.0,23.85
2023-08-07_15-12-30-6a063cbb,25,100,102.634,up,1,168.0,182.0,15.37
2023-08-07_15-03-49-8820fcf5,100,100,100.834,right,3,142.0,166.0,46.69
2023-08-07_14-42-39-d68a6f1c,50,50,53.841,left,2,153.0,176.0,43.53
2023-08-07_15-36-15-4f7efeee,50,150,153.363,up,2,164.0,180.0,18.51
2023-08-07_15-02-30-0d5be936,100,100,102.183,right,1,12.0,178.0,44.83
2023-08-07_15-01-57-dafe9864,50,100,103.562,right,3,162.0,180.0,26.67
2023-08-07_15-33-59-970de377,25,150,157.562,up,2,179.0,209.0,10.12
